"duration","age","town_size","gender","edu","pre_emotion_good","pre_emotion_happy","pre_emotion_tired","pre_emotion_tense","attitude_government","ideology","interest","attention_check","post_emotion_good","post_emotion_happy","post_emotion_tired","post_emotion_tense","panas_1","panas_2","panas_3","panas_4","panas_5","panas_6","panas_7","panas_8","panas_9","panas_10","ft_inparty_supporter","ft_outparty_supporter","ft_govern_sup","ft_govern_opp","ft_inparty","ft_outparty","ft_liberal","ft_conservative","ft_immigrant","ft_feminist","ft_nationalist","ft_neonazi","conspiracy_1","conspiracy_2","conspiracy_3","conspiracy_4","conspiracy_5","conspiracy_6","video","condition","pids_1","pids_2","pids_3","pids_4","outgroup_trust_1","outgroup_trust_2","outgroup_trust_3","outgroup_trust_4","social_distance_1","social_distance_2","social_distance_3","trait_1","trait_2","trait_3R","trait_4R","trait_5R","trait_6"
12.0166666666667,24,1,1,3,4,4,3,5,"supporter",5,2,2,3,3,3,5,3,5,2,1,1,6,1,1,1,5,69,19,67,58,69,0,50,50,0,16,38,0,4,5,5,2,5,5,1,"Control",1,3,4,1,4,5,3,3,7,7,7,4,4,2,4,1,4
11.0833333333333,75,5,2,6,5,4,4,4,"opponent",5,5,2,3,3,3,3,4,5,4,5,5,4,4,3,5,4,75,66,32,71,77,84,46,23,47,51,2,1,3,3,3,3,3,3,2,"HappyW",4,2,4,4,3,3,3,3,2,2,2,4,4,4,4,4,4
14.5666666666667,59,5,1,4,5,6,3,4,"opponent",3,7,2,5,6,3,4,5,6,6,5,4,5,4,6,4,6,99,1,1,100,89,1,51,13,77,71,1,1,5,1,1,1,1,1,1,"Control",6,4,4,1,1,1,1,1,1,1,1,1,1,7,7,7,1
12.6,58,1,2,6,7,5,2,4,"opponent",4,7,2,6,5,2,3,5,6,3,5,4,5,5,5,5,5,100,0,1,100,100,1,74,1,100,100,0,1,5,1,5,1,3,1,2,"HappyW",7,7,7,7,1,1,1,1,1,1,1,1,1,7,7,7,1
24.8666666666667,36,3,2,6,6,6,5,4,"supporter",6,5,2,6,6,5,5,4,5,4,4,4,4,5,5,5,4,90,15,50,50,90,10,25,60,15,10,60,0,4,4,3,4,3,3,1,"HappyQ",2,2,2,1,2,1,2,2,6,6,6,4,4,5,4,4,3
14.05,61,4,1,3,7,7,7,7,"supporter",5,4,2,5,5,5,4,3,4,3,3,3,4,5,5,5,4,64,19,55,56,64,37,59,54,46,53,49,29,3,5,3,2,4,2,1,"HappyW",3,4,4,3,4,4,4,4,6,6,6,5,4,3,3,3,4
7.58333333333333,40,5,2,6,7,7,7,7,"supporter",10,4,2,7,7,7,7,6,6,6,4,4,6,4,5,7,5,75,35,82,36,78,12,50,80,32,18,84,8,2,5,3,3,1,3,1,"HappyQ",7,7,7,4,4,4,4,4,5,5,3,4,4,4,4,4,4
13.8333333333333,70,3,2,4,7,4,7,7,"opponent",5,5,2,7,6,7,6,5,6,5,3,3,5,5,5,5,6,76,3,11,94,68,1,84,43,51,81,1,1,4,2,1,2,2,1,2,"HappyP",7,6,5,1,1,1,2,1,5,4,5,5,2,6,6,6,2
15.1333333333333,52,1,1,3,7,5,5,7,"opponent",2,6,2,7,1,5,1,5,7,5,4,2,7,5,6,6,7,100,0,0,99,100,0,100,10,100,90,0,0,4,2,1,1,4,1,2,"HappyQ",7,7,4,7,2,1,1,2,2,2,2,4,2,6,6,2,1
25.5833333333333,71,4,2,6,6,6,5,5,"supporter",8,5,2,6,3,6,5,4,5,4,4,4,5,5,5,4,5,90,2,83,18,88,3,39,91,45,8,52,11,4,4,3,4,5,3,1,"HappyQ",6,5,6,5,3,2,2,2,2,2,2,2,3,6,2,5,4
45.45,35,1,2,1,4,4,2,3,"supporter",7,5,2,4,4,6,5,4,6,5,3,1,5,5,4,3,5,84,54,89,34,91,5,33,78,56,0,19,0,1,1,3,1,1,3,1,"HappyQ",5,5,5,4,3,3,4,4,6,6,6,3,3,4,1,1,4
21.8666666666667,70,1,1,4,7,5,7,7,"opponent",1,5,2,7,6,7,7,4,6,2,3,3,5,4,4,4,5,84,41,35,67,93,2,89,68,82,96,6,0,2,3,2,1,3,3,5,"HappyP",2,4,1,1,6,5,6,5,7,7,7,6,6,1,1,1,6
10.8833333333333,52,1,1,3,7,6,5,6,"opponent",3,2,2,6,5,6,3,4,6,2,4,4,7,5,5,5,6,98,3,7,18,85,6,83,18,13,27,26,4,4,3,3,2,3,2,2,"Control",4,5,5,4,2,2,3,2,6,6,6,3,4,4,4,4,2
8.28333333333333,31,4,1,3,6,6,3,6,"supporter",8,5,2,6,6,3,6,5,5,6,5,5,6,6,5,6,5,66,16,82,62,66,22,20,75,10,37,32,12,3,3,3,3,3,3,2,"Control",5,4,4,4,2,3,2,3,4,4,4,4,1,5,5,2,2
10.95,23,1,1,5,7,4,2,3,"opponent",3,1,2,6,5,2,4,5,4,3,5,5,4,5,4,2,3,40,47,62,33,45,7,57,50,43,49,37,53,4,3,2,2,3,1,2,"HappyP",4,4,4,4,4,4,4,4,5,3,4,3,4,5,5,3,2
21.8833333333333,66,3,1,6,7,4,6,5,"opponent",5,6,2,7,4,6,6,4,5,4,2,3,4,6,5,3,6,100,0,0,100,75,0,50,50,100,100,0,0,4,3,1,1,3,1,1,"HappyQ",6,6,6,4,3,1,4,2,4,4,4,1,1,4,4,4,4
7.56666666666667,33,3,2,2,4,4,4,3,"supporter",8,4,2,5,4,6,4,4,5,4,4,4,4,4,4,4,4,73,90,30,52,100,65,80,12,20,32,55,5,4,3,4,3,3,4,3,"HappyW",5,6,5,5,4,4,4,5,7,7,7,4,4,4,4,3,4
18.1,65,1,1,6,2,2,3,3,"opponent",5,4,2,3,1,3,3,3,4,4,3,4,4,4,5,3,4,72,35,22,41,62,37,58,31,45,48,44,26,3,2,3,2,3,2,2,"HappyW",4,5,4,3,3,3,3,3,4,4,4,4,3,4,4,4,3
9.71666666666667,53,1,1,6,3,4,5,6,"opponent",4,4,2,6,6,5,6,5,5,3,6,5,5,6,6,5,5,70,71,2,55,70,5,57,50,28,73,27,4,3,3,3,3,3,3,2,"HappyP",7,7,7,7,5,3,5,5,4,4,4,3,3,4,4,3,4
12.7666666666667,36,3,2,3,7,7,7,4,"supporter",10,2,3,7,7,7,5,3,4,2,4,1,3,5,7,4,3,48,30,71,0,100,75,32,11,0,0,16,0,4,5,3,5,4,1,1,"Control",5,5,4,3,5,5,5,3,4,6,5,1,3,4,3,4,3
24.6666666666667,23,1,1,3,7,7,2,4,"opponent",4,2,2,7,1,3,5,5,5,4,3,3,3,5,5,5,4,38,0,0,100,66,0,18,11,6,31,23,0,3,3,2,1,3,2,3,"HappyW",7,7,7,1,1,1,1,1,5,5,5,1,1,7,7,7,1
7.96666666666667,24,1,2,3,6,5,5,4,"supporter",6,4,2,5,5,4,4,3,4,3,2,4,3,3,4,3,1,29,17,46,22,7,5,26,54,5,0,45,26,4,4,3,2,3,3,4,"HappyW",4,5,4,5,4,4,4,3,4,6,4,4,2,5,5,6,3
9.58333333333333,37,1,1,6,5,4,2,4,"opponent",5,5,2,5,5,2,3,5,3,4,2,2,4,2,6,5,5,76,13,21,76,84,22,54,53,54,78,1,1,1,4,1,2,3,1,1,"Control",7,7,6,1,4,5,5,5,5,5,5,4,2,6,3,4,4
11.05,45,3,1,6,7,5,6,5,"opponent",5,6,2,6,6,6,6,6,5,6,5,5,5,5,6,6,6,100,2,2,95,89,3,32,48,50,49,2,2,3,5,5,4,5,5,1,"HappyQ",6,7,6,5,3,4,3,4,5,4,4,2,3,3,2,2,3
51.7166666666667,31,2,2,6,6,2,2,2,"opponent",5,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,48,48,49,50,49,48,49,49,48,50,49,49,3,4,3,4,3,3,2,"HappyP",4,4,4,2,4,3,2,4,2,3,3,4,4,4,4,4,4
12.4333333333333,19,3,1,3,5,4,2,3,"supporter",5,2,2,4,5,2,3,3,4,3,3,1,4,4,4,2,4,62,30,62,17,58,40,49,51,54,64,35,0,4,5,5,4,5,5,1,"Control",4,4,4,5,2,4,3,3,4,3,4,4,4,5,6,4,5
12.5666666666667,65,3,1,6,7,7,4,4,"opponent",5,4,2,7,7,4,4,4,5,4,4,4,5,4,4,4,6,96,1,3,95,95,1,71,6,52,81,4,1,3,2,1,1,2,1,5,"HappyP",7,6,7,4,3,2,2,1,5,4,5,4,3,4,4,4,4
24.75,33,2,1,5,5,6,3,2,"opponent",7,4,5,5,6,3,3,6,7,6,5,2,6,7,7,6,6,89,10,33,92,79,11,23,89,46,65,58,8,2,1,1,1,2,1,2,"HappyP",5,5,5,2,6,4,5,5,6,6,6,6,5,4,2,1,4
14.3,58,1,1,6,5,4,2,4,"supporter",10,4,2,5,6,2,3,4,6,4,4,4,4,4,4,4,6,98,7,98,1,97,1,6,96,0,2,5,100,2,3,2,2,4,1,2,"HappyW",7,7,7,4,2,1,1,2,4,4,4,3,4,4,4,4,4
13.2833333333333,57,1,1,6,7,7,1,1,"opponent",5,1,2,7,7,1,1,4,6,4,3,1,6,4,6,4,6,45,34,14,92,80,11,52,56,48,100,51,48,5,3,4,1,3,1,2,"Control",4,4,6,6,4,4,4,4,6,6,6,4,4,4,1,4,4
