"duration","age","gender","race","edu","pre_emotion_good","pre_emotion_happy","pre_emotion_tired","pre_emotion_tense","pids_1","pids_2","pids_3","pids_4","ideology","interest","attention_check","post_emotion_good","post_emotion_happy","post_emotion_tired","post_emotion_tense","panas_1","panas_2","panas_3","panas_4","panas_5","panas_6","panas_7","panas_8","panas_9","panas_10","ft_rep_sup","ft_dem_sup","ft_rep","ft_dem","ft_liberal","ft_conservative","ft_immigrant","ft_feminist","ft_neonazi","outgroup_trust_1","outgroup_trust_2","outgroup_trust_3","outgroup_trust_4","social_distance_1","social_distance_2","social_distance_3","trait_1","trait_2","trait_3","trait_4R","trait_5R","trait_6R","conspiracy_1","conspiracy_2","conspiracy_3","conspiracy_4","conspiracy_5","conspiracy_6","video","partisanship","condition"
866,24,0,5,3,7,7,4,7,6,7,6,1,10,6,2,7,7,6,5,5,7,7,6,4,6,4,7,4,5,84,92,90,73,94,77,93,69,92,6,7,7,7,6,7,7,5,6,7,4,7,6,5,5,5,5,5,4,1,"Democrat","HappyW"
1066,30,0,5,3,6,5,5,5,6,4,6,5,1,5,2,6,5,5,5,4,5,4,4,4,5,5,3,4,6,39,81,20,80,85,51,85,90,0,2,2,2,2,6,5,3,4,2,4,4,4,4,1,1,1,1,1,1,1,"Democrat","Control"
470,54,1,5,3,6,3,3,1,4,1,4,1,5,1,2,5,4,3,5,4,3,6,4,2,4,3,4,5,4,83,36,77,36,51,51,17,82,6,1,1,4,1,4,4,4,6,1,1,7,6,5,4,3,4,3,4,3,1,"Republican","HappyP"
717,37,1,5,3,4,4,1,3,3,3,1,4,5,2,2,6,4,2,3,4,4,3,3,4,4,3,3,4,4,30,80,1,90,57,54,80,100,0,4,1,2,4,3,4,4,4,2,2,6,7,6,3,2,3,1,3,2,1,"Democrat","HappyQ"
3155,36,1,6,2,7,7,7,7,5,5,6,6,10,1,3,7,7,7,7,7,7,7,7,1,1,7,7,7,7,55,57,38,20,49,49,43,45,42,5,6,4,7,2,1,3,7,7,7,7,7,7,1,1,1,1,1,1,1,"Republican","HappyQ"
182,51,1,6,4,3,3,1,3,4,4,4,4,6,2,2,3,3,3,3,4,4,4,3,4,4,4,4,4,5,51,39,51,30,45,72,46,47,15,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,1,3,2,1,"Republican","HappyP"
25385,29,1,5,5,5,4,4,4,4,4,5,2,5,1,2,5,5,4,4,5,5,5,4,4,5,4,5,4,5,31,60,43,68,51,49,61,51,1,3,3,3,3,4,4,4,4,4,4,4,4,4,1,1,2,1,1,1,3,"Democrat","HappyP"
549,44,1,6,3,6,6,3,7,6,6,7,5,8,3,2,6,6,3,6,4,5,6,4,6,6,4,4,6,6,96,9,91,35,30,92,6,51,18,2,2,2,4,6,6,6,5,3,2,6,5,6,2,2,2,1,3,1,4,"Republican","HappyW"
222,53,1,6,2,7,7,7,7,6,4,4,1,5,6,2,7,7,7,7,7,7,7,7,7,7,7,7,7,7,32,71,37,63,57,56,23,53,89,3,1,4,4,1,7,7,4,4,4,4,4,4,4,4,4,4,4,4,4,"Democrat","HappyP"
546,41,1,5,3,4,4,1,7,3,4,4,4,6,4,2,4,4,1,1,4,4,5,4,5,4,5,4,4,3,49,1,41,1,6,2,0,2,0,1,1,1,1,4,4,4,1,1,1,1,1,1,2,3,2,2,3,1,1,"Republican","HappyQ"
