"duration","age","town_size","gender","edu","attitude_government","ideology","interest","attention_check","ft_inparty_supporter","ft_outparty_supporter","ft_govern_sup","ft_govern_opp","ft_inparty","ft_outparty","ft_liberal","ft_conservative","ft_immigrant","ft_feminist","ft_nationalist","ft_neonazi","conspiracy_1","conspiracy_2","conspiracy_3","conspiracy_4","conspiracy_5","conspiracy_6","video","condition","pids_1","pids_2","pids_3","pids_4","outgroup_trust_1","outgroup_trust_2","outgroup_trust_3","outgroup_trust_4","social_distance_1","social_distance_2","social_distance_3","trait_1","trait_2","trait_3R","trait_4R","trait_5R","trait_6","Happy","Angry","Anxious"
536,59,1,2,6,"opponent",6,2,2,36,62,64,72,47,35,47,79,7,33,63,69,3,3,4,1,5,1,1,"ANXW",3,2,5,5,1,3,3,5,5,3,6,5,4,4,2,6,2,0,0,0
464,32,4,1,4,"opponent",0,4,2,93,0,0,100,100,0,0,46,67,80,0,0,3,4,3,2,2,3,2,"ANGW",7,7,7,1,1,1,2,1,4,3,1,1,1,7,1,3,1,0,2,0
4261,25,2,1,4,"opponent",2,4,2,97,2,100,97,68,3,100,5,1,97,30,97,5,5,1,1,1,1,2,"HappyW",7,7,7,1,1,1,1,1,1,1,1,1,1,7,7,7,1,0,0,0
516,58,4,1,6,"opponent",3,2,2,50,1,1,99,49,1,73,1,51,99,1,0,5,5,1,4,4,1,2,"ControlW",7,5,7,5,1,1,1,1,4,2,4,2,1,1,1,7,1,0,0,0
423,18,2,1,1,"opponent",2,3,2,70,13,0,68,63,0,86,24,39,55,12,0,2,1,1,1,3,1,3,"ANXW",4,5,4,4,3,3,3,3,5,4,4,3,4,4,5,4,4,0,0,1
584,24,1,2,4,"opponent",5,4,2,53,9,53,51,54,21,53,53,95,49,4,13,3,3,3,3,3,3,5,"HappyW",4,4,4,4,4,4,4,4,7,7,7,4,4,4,4,4,4,0,0,0
6013,36,1,1,6,"opponent",1,5,2,100,0,0,100,66,0,75,59,44,72,9,2,5,1,1,4,1,1,3,"ANXW",6,7,7,1,1,1,1,1,2,4,5,1,1,7,7,6,1,0,0,1
4577,33,3,2,5,"supporter",7,4,2,68,5,65,45,65,4,27,61,3,48,3,100,1,4,1,4,1,1,3,"ControlW",5,4,5,4,2,3,3,4,6,7,4,3,3,4,6,4,4,0,0,0
550,40,4,2,6,"opponent",7,4,2,74,0,46,47,71,2,51,68,28,24,46,0,4,4,5,3,3,4,2,"ANGW",5,5,4,2,5,3,5,4,6,6,6,3,3,7,6,4,4,0,2,0
502,49,5,1,3,"opponent",0,1,2,10,0,0,100,3,0,0,0,0,100,0,0,1,1,1,1,1,1,5,"ANGW",4,1,4,1,1,1,1,1,4,5,4,2,4,4,2,2,4,0,0,0
617,37,1,1,6,"supporter",5,4,2,68,28,71,29,71,27,37,58,34,52,52,24,3,3,3,2,3,2,2,"ControlW",4,4,4,4,4,3,4,4,4,4,4,4,4,5,5,4,4,0,0,0
740,51,5,2,4,"opponent",5,5,2,80,0,0,100,80,0,50,65,50,80,0,0,3,3,3,3,3,3,5,"ANGW",7,7,7,7,1,1,1,1,4,4,4,1,1,7,7,7,1,0,1,0
1133,77,4,1,3,"opponent",5,4,2,80,5,46,50,77,4,46,47,48,44,10,1,4,3,3,4,3,3,2,"ANXW",7,7,6,1,4,3,4,4,4,4,4,4,4,4,4,4,4,0,2,0
