"duration","age","gender","edu","pre_emotion_good","pre_emotion_happy","pre_emotion_tired","pre_emotion_tense","pids_1","pids_2","pids_3","pids_4","ideology","interest","attention_check","sam","ft_inparty_supporter","ft_outparty_supporter","ft_inparty","ft_outparty","ft_liberal","ft_conservative","ft_immigrant","ft_feminist","ft_nationalist","outgroup_trust_1","outgroup_trust_2","outgroup_trust_3","outgroup_trust_4","social_distance_1","social_distance_2","social_distance_3","trait_1","trait_2","trait_3","trait_4R","trait_5R","trait_6R","conspiracy_1","conspiracy_2","conspiracy_3","conspiracy_4","conspiracy_5","conspiracy_6","video","condition","ideology_cat"
479,32,1,9,6,5,6,5,3,3,4,2,8,4,2,7,82,51,85,21,70,58,75,40,45,4,4,4,4,4,4,4,4,4,4,4,4,4,1,1,1,1,1,2,1,"ControlP","right"
395,64,0,7,7,6,6,7,5,5,6,5,9,6,2,7,96,6,90,0,57,75,71,37,37,4,3,4,4,4,3,3,3,4,4,5,5,3,4,2,1,4,2,1,1,"HappyQ","right"
600,54,0,8,7,7,5,5,5,5,5,2,8,5,2,8,69,2,68,0,59,59,61,56,40,5,4,4,4,4,4,4,5,4,5,5,3,4,2,2,2,4,4,1,1,"ControlQ","right"
387,55,1,9,6,6,6,7,6,6,6,4,2,6,2,8,76,18,68,15,80,30,65,71,30,5,4,5,5,5,4,5,5,4,6,2,6,2,4,1,2,1,3,1,3,"ControlW","left"
336,41,0,5,6,6,5,3,3,3,3,3,6,5,2,7,65,26,71,28,65,30,65,62,39,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,1,"HappyP","right"
603,57,1,5,6,6,5,6,3,4,5,4,3,5,2,7,77,21,76,18,73,51,70,70,40,5,6,6,6,4,7,6,4,3,4,5,5,3,2,1,2,1,4,1,1,"ControlP","left"
428,51,1,4,2,1,1,1,5,5,6,3,2,3,2,7,68,10,72,9,65,30,67,51,57,4,3,3,4,3,3,3,3,3,4,5,6,5,2,1,2,1,2,1,2,"HappyW","left"
328,53,0,8,7,6,7,7,5,4,4,5,8,3,2,8,82,18,81,10,35,76,50,50,91,6,6,6,6,4,4,4,4,4,4,4,4,4,4,2,5,3,4,5,1,"ControlW","right"
446,47,1,8,7,6,5,7,3,2,4,1,2,1,2,7,71,33,77,5,60,28,81,57,51,4,4,4,4,4,4,4,4,3,4,4,4,4,1,1,1,1,1,2,1,"ControlQ","left"
419,72,0,8,7,7,7,7,4,4,4,2,8,5,2,8,81,0,65,0,36,60,57,51,59,4,4,4,4,6,6,6,4,3,5,2,2,2,1,5,1,2,4,5,1,"HappyW","right"
